titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
"Consultor de Software para implantaciones de TPV, ERP, CRM","CIDE XARXES I TELECOMUNICACIONS,SL",hace 5h,"['Se valoraran conocimientos en gestión e informática', 'Análisis', 'Software', 'Gestión']","Soporte a usuarios, análisis e implantantación de software de gestión para los sectores de Distribución, Hoteles, Restaurantes y cadenas de establecimientos.",Reus,Equipos informáticos, jornada completa,no requerida,indefinido,15.000€ - 27.000€ Bruto/año,2024-01-27,https://www.infojobs.net/reus/consultor-software-para-implantaciones-tpv-erp-crm/of-ifcc0735c5942a48fa1ddcee6806ed7?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
DIRECTOR MARKETING y ESPECILISTA LINKEDIN,SPORT & CONSULTING INVESTIGACION Y DESARROLLO SL,hace 6h,"['HTML', 'SEM', 'Marketing', 'Liderazgo', 'LinkedIn', 'Adobe Photoshop', 'Marketing digital', 'Estratégia de marketing', 'Mailchimp', 'Photoshop']","Buscamos experto en marketing digital con 5 años de experiencia.CMO En dependencia de la Dirección, se responsabilizará de la actividad del área y definirá junto ella, la estrategia de marketing para el porfolio de servicios de la compañía, medir y analizar la rentabilidad de las acciones de marketing realizadas a través de los KPIs que resulten oportunos en cada caso.Conocimientos necesarios y  Aptitudes:· Posicionamiento SEO/SEM· Adwords, Adsense y analytics de Google· Dominio de HTML Y WORDPRESS· Experiencia con gestores de envio como sendinblue o mailchimp.· Dominio de Adobe Photoshop e Illustrator.· Conocimientos en Marketplace.· OFFICE 365         Dominio  en plataforma LINKEDIN Por  otro lado necesitamos una persona  con las  siguientes  Actitudes.Comunicador Responsable Implicado con la  empresaLiderazgo",Boecillo,"Programación, Consultoria y otras Activ. informaticas", jornada indiferente,al menos 4 años,indefinido,28.000€ - 30.000€ Bruto/año,2024-01-27,https://www.infojobs.net/boecillo/director-marketing-especilista-linkedin/of-i59a9a3d9644430a578ba300583f5ba?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
React developer | 100% Remote,XLIT Consulting SPRL,hace 2h,"['React', 'Javascript', 'Typescript', 'Saga', 'Redux', 'Git', 'Jest', 'React Native']","XLIT Consulting is looking for a React Native developer for a major public sector client.Embrace the Flexibility and Thrive in the Ever-Changing World of Software Development with a 100% Remote Position at a Prestigious Public Company in Brussels, Belgium.Are you a seasoned React Native developer seeking boundless flexibility and the chance to make a meaningful impact in the public sector?If so, we invite you to embark on an extraordinary career journey with us as a React Native Developer for a groundbreaking project at one of the most prominent public institutions in Brussels, Belgium. This is your opportunity to work on a long-term, stable project while enjoying the freedom of a 100% remote position anywhere in the EU/UK.Unleash Your Skills and Passion in a Multicultural and International EnvironmentJoin our diverse team of passionate individuals and collaborate with colleagues from around the globe, fostering an environment of innovation and continuous learning. Our multicultural setting provides a wealth of perspectives, allowing you to expand your knowledge and enhance your professional development.Grasp the Opportunity to Work on a Legacy Project with Long-Term StabilityImmerse yourself in a project that has the potential to revolutionize the public transportation system in Brussels. Our commitment to long-term stability ensures that your contributions will have a lasting impact, while also providing you with the security and peace of mind you deserve.Experience the Joy of Being Valued and HeardYour personal passion, interests, and experience will be highly valued, as your input will play a crucial role in shaping the project's success. We are committed to creating a supportive environment where your voice is heard, and your contributions are recognized and appreciated.Technical Profile Requirements (Required Skills)Total experience on same or similar position 6+ yearsCore expertise in React NativeExperience in Git, JavaScript, Saga, Redux, React-Navigation.Experience in Typescript, Firebase, BitBucket.Experience in GraphQL, Reactotron, Gradle, Fastlane, Testflight, Android Studio, VSCode, Xcode.Knowledge of NPM, Jest, FlowAnalytics, Git NPM, AppStore / PlayStore deployments.Must have worked in Agile projects and be aware of Agile methodologies.Fluent in English (French/Dutch not required)Desirable SkillsUnderstanding of transport domainUnderstanding of JiraKey ResponsibilitiesCollaborating closely with your team to maintain code quality and consistency throughout the project.Harnessing your expertise in React to develop and maintain web applications using clean, scalable code in JavaScript and TypeScript.Designing and implementing automated tests using Jest to ensure the functionality and stability of our web applicationsActively participating in code review and troubleshooting sessions, contributing to the resolution of any code-related issuesJoin us and embark on a journey of innovation, collaboration, and personal growth as you shape the future of public transportation in Brussels.Apply now and let your passion for React Native and software development take center stage!**Important Remark:**If you are willing to relocate to anywhere in Belgium, you have also the possibility of becoming an internal XLIT employee instead of work as contractor/freelancer, enjoying the benefits of a structured work environment, company culture, and career growth opportunities within XLIT. Both options are possible if you would like to relocate, otherwise from a different country than Belgium only freelancer/contractor is possibleThere are 2 modalities:Freelancer: daily rate up to 400€/gross anywhere in EU/UKInternal XLIT Employee (only people willing to relocate to Belgium): Salary will be determined based on different variables being the equivalent of the contractor daily ratePlease only people currently living in the EU/UK or willing to move there Please do not apply if you have no experience",Madrid,, jornada completa,más de 5 años,autónomo,78.000€ - 88.000€ Bruto/año,2024-01-27,https://www.infojobs.net/madrid/react-developer-100-remote/of-i4db15bcb7644fd93a00786f7e90668?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
2 INFORMÁTICOS (1 para Dep. Marketing + 1 Developer Senior),ESNECA FIC GROUP SL,hace 4h,"['WordPress', 'MySQL', 'PHP', 'SEO', 'HTML', 'CSS', 'Analítica Web', 'Desarrollo web', 'CRM', 'Gestión']","Desde Grupo Esneca Formación necesitamos incorporar dos perfiles informáticosOFERTA 1:Técnico Informático en el Departamento de Marketing.Sus funciones serán:- Desarrollo Web- Implementación de modificaciones web y adaptación móvil para mejorar la funcionalidad y el posicionamiento SEO- Creación de proyectos en diferentes canales digitales (chatbot, bot...)- Diseño y desarrollo de soluciones tecnológicas- Apoyar la planificación estratégica de marketing a nivel informático- Implementación y gestión del GA4- Creación de embudos de conversión junto con el departamento de MarketingConocimientos necesarios:Código CSSCódigo HTMLPHP y MySQLWordpressValorable experiencia con heramientas de analítica web como GA4 y TGMOFERTA 2Por otro lado, precisamos incorporar en nuestro departamento de IT un DESARROLLADOR SENIOR, con experiencia en PHP, MySQL, HTML, y CSS. Se encargará del desarrollo y ampliación del CRM propio, junto a un. equipo altamente especializado.En ambos casos se valorará experiencia para definir salario.",Lleida,Educación, jornada completa,al menos 1 año,indefinido,18.000€ - 36.000€ Bruto/año,2024-01-27,https://www.infojobs.net/lleida/2-informaticos-1-para-dep.-marketing-1-developer-senior/of-i9d0fa31c364f78a5b3136b7c1ebbba?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
PROGRAMADOR/A INFORMÁTICO,Empresa líder en su sector,hace 4h,"['Orientación', 'SQL', 'Coordinación de proyectos', 'Gestión de equipos']","Importante grupo empresarial de la Región de Murcia, está realizando la selección de un o una programador/a informático con capacidad analítica, de gestión de equipos de trabajo y orientación a resultados. Las funciones a desarrollar por el mismo, serán las siguientes:-Análisis de los procesos de negocio.-Gestión y coordinación de proyectos.-Seguimiento de implantaciones.-Desarrollo de aplicaciones.-Conocimiento de BBDD SQL-Server.-Reporting Power BISi consideras que te ajustas al perfil, ¡no dudes en inscribirte!",Murcia,Otras actividades, jornada completa,al menos 3 años,indefinido,18.000€ - 36.000€ Bruto/año,2024-01-27,https://www.infojobs.net/murcia/programador-informatico/of-i58b9fe387141c8ae10e1467144648a?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
"Consultor de Software para implantaciones de TPV, ERP, CRM","CIDE XARXES I TELECOMUNICACIONS,SL",hace 5h,"['Se valoraran conocimientos en gestión e informática', 'Análisis', 'Software', 'Gestión']","Soporte a usuarios, análisis e implantantación de software de gestión para los sectores de Distribución, Hoteles, Restaurantes y cadenas de establecimientos.",Reus,Equipos informáticos, jornada completa,no requerida,indefinido,15.000€ - 27.000€ Bruto/año,2024-01-27,https://www.infojobs.net/reus/consultor-software-para-implantaciones-tpv-erp-crm/of-ifcc0735c5942a48fa1ddcee6806ed7?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
DIRECTOR MARKETING y ESPECILISTA LINKEDIN,SPORT & CONSULTING INVESTIGACION Y DESARROLLO SL,hace 6h,"['HTML', 'SEM', 'Marketing', 'Liderazgo', 'LinkedIn', 'Adobe Photoshop', 'Marketing digital', 'Estratégia de marketing', 'Mailchimp', 'Photoshop']","Buscamos experto en marketing digital con 5 años de experiencia.CMO En dependencia de la Dirección, se responsabilizará de la actividad del área y definirá junto ella, la estrategia de marketing para el porfolio de servicios de la compañía, medir y analizar la rentabilidad de las acciones de marketing realizadas a través de los KPIs que resulten oportunos en cada caso.Conocimientos necesarios y  Aptitudes:· Posicionamiento SEO/SEM· Adwords, Adsense y analytics de Google· Dominio de HTML Y WORDPRESS· Experiencia con gestores de envio como sendinblue o mailchimp.· Dominio de Adobe Photoshop e Illustrator.· Conocimientos en Marketplace.· OFFICE 365         Dominio  en plataforma LINKEDIN Por  otro lado necesitamos una persona  con las  siguientes  Actitudes.Comunicador Responsable Implicado con la  empresaLiderazgo",Boecillo,"Programación, Consultoria y otras Activ. informaticas", jornada indiferente,al menos 4 años,indefinido,28.000€ - 30.000€ Bruto/año,2024-01-27,https://www.infojobs.net/boecillo/director-marketing-especilista-linkedin/of-i59a9a3d9644430a578ba300583f5ba?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
React developer | 100% Remote,XLIT Consulting SPRL,hace 2h,"['React', 'Javascript', 'Typescript', 'Saga', 'Redux', 'Git', 'Jest', 'React Native']","XLIT Consulting is looking for a React Native developer for a major public sector client.Embrace the Flexibility and Thrive in the Ever-Changing World of Software Development with a 100% Remote Position at a Prestigious Public Company in Brussels, Belgium.Are you a seasoned React Native developer seeking boundless flexibility and the chance to make a meaningful impact in the public sector?If so, we invite you to embark on an extraordinary career journey with us as a React Native Developer for a groundbreaking project at one of the most prominent public institutions in Brussels, Belgium. This is your opportunity to work on a long-term, stable project while enjoying the freedom of a 100% remote position anywhere in the EU/UK.Unleash Your Skills and Passion in a Multicultural and International EnvironmentJoin our diverse team of passionate individuals and collaborate with colleagues from around the globe, fostering an environment of innovation and continuous learning. Our multicultural setting provides a wealth of perspectives, allowing you to expand your knowledge and enhance your professional development.Grasp the Opportunity to Work on a Legacy Project with Long-Term StabilityImmerse yourself in a project that has the potential to revolutionize the public transportation system in Brussels. Our commitment to long-term stability ensures that your contributions will have a lasting impact, while also providing you with the security and peace of mind you deserve.Experience the Joy of Being Valued and HeardYour personal passion, interests, and experience will be highly valued, as your input will play a crucial role in shaping the project's success. We are committed to creating a supportive environment where your voice is heard, and your contributions are recognized and appreciated.Technical Profile Requirements (Required Skills)Total experience on same or similar position 6+ yearsCore expertise in React NativeExperience in Git, JavaScript, Saga, Redux, React-Navigation.Experience in Typescript, Firebase, BitBucket.Experience in GraphQL, Reactotron, Gradle, Fastlane, Testflight, Android Studio, VSCode, Xcode.Knowledge of NPM, Jest, FlowAnalytics, Git NPM, AppStore / PlayStore deployments.Must have worked in Agile projects and be aware of Agile methodologies.Fluent in English (French/Dutch not required)Desirable SkillsUnderstanding of transport domainUnderstanding of JiraKey ResponsibilitiesCollaborating closely with your team to maintain code quality and consistency throughout the project.Harnessing your expertise in React to develop and maintain web applications using clean, scalable code in JavaScript and TypeScript.Designing and implementing automated tests using Jest to ensure the functionality and stability of our web applicationsActively participating in code review and troubleshooting sessions, contributing to the resolution of any code-related issuesJoin us and embark on a journey of innovation, collaboration, and personal growth as you shape the future of public transportation in Brussels.Apply now and let your passion for React Native and software development take center stage!**Important Remark:**If you are willing to relocate to anywhere in Belgium, you have also the possibility of becoming an internal XLIT employee instead of work as contractor/freelancer, enjoying the benefits of a structured work environment, company culture, and career growth opportunities within XLIT. Both options are possible if you would like to relocate, otherwise from a different country than Belgium only freelancer/contractor is possibleThere are 2 modalities:Freelancer: daily rate up to 400€/gross anywhere in EU/UKInternal XLIT Employee (only people willing to relocate to Belgium): Salary will be determined based on different variables being the equivalent of the contractor daily ratePlease only people currently living in the EU/UK or willing to move there Please do not apply if you have no experience",Madrid,, jornada completa,más de 5 años,autónomo,78.000€ - 88.000€ Bruto/año,2024-01-27,https://www.infojobs.net/madrid/react-developer-100-remote/of-i4db15bcb7644fd93a00786f7e90668?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
2 INFORMÁTICOS (1 para Dep. Marketing + 1 Developer Senior),ESNECA FIC GROUP SL,hace 4h,"['WordPress', 'MySQL', 'PHP', 'SEO', 'HTML', 'CSS', 'Analítica Web', 'Desarrollo web', 'CRM', 'Gestión']","Desde Grupo Esneca Formación necesitamos incorporar dos perfiles informáticosOFERTA 1:Técnico Informático en el Departamento de Marketing.Sus funciones serán:- Desarrollo Web- Implementación de modificaciones web y adaptación móvil para mejorar la funcionalidad y el posicionamiento SEO- Creación de proyectos en diferentes canales digitales (chatbot, bot...)- Diseño y desarrollo de soluciones tecnológicas- Apoyar la planificación estratégica de marketing a nivel informático- Implementación y gestión del GA4- Creación de embudos de conversión junto con el departamento de MarketingConocimientos necesarios:Código CSSCódigo HTMLPHP y MySQLWordpressValorable experiencia con heramientas de analítica web como GA4 y TGMOFERTA 2Por otro lado, precisamos incorporar en nuestro departamento de IT un DESARROLLADOR SENIOR, con experiencia en PHP, MySQL, HTML, y CSS. Se encargará del desarrollo y ampliación del CRM propio, junto a un. equipo altamente especializado.En ambos casos se valorará experiencia para definir salario.",Lleida,Educación, jornada completa,al menos 1 año,indefinido,18.000€ - 36.000€ Bruto/año,2024-01-27,https://www.infojobs.net/lleida/2-informaticos-1-para-dep.-marketing-1-developer-senior/of-i9d0fa31c364f78a5b3136b7c1ebbba?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
PROGRAMADOR/A INFORMÁTICO,Empresa líder en su sector,hace 4h,"['Orientación', 'SQL', 'Coordinación de proyectos', 'Gestión de equipos']","Importante grupo empresarial de la Región de Murcia, está realizando la selección de un o una programador/a informático con capacidad analítica, de gestión de equipos de trabajo y orientación a resultados. Las funciones a desarrollar por el mismo, serán las siguientes:-Análisis de los procesos de negocio.-Gestión y coordinación de proyectos.-Seguimiento de implantaciones.-Desarrollo de aplicaciones.-Conocimiento de BBDD SQL-Server.-Reporting Power BISi consideras que te ajustas al perfil, ¡no dudes en inscribirte!",Murcia,Otras actividades, jornada completa,al menos 3 años,indefinido,18.000€ - 36.000€ Bruto/año,2024-01-27,https://www.infojobs.net/murcia/programador-informatico/of-i58b9fe387141c8ae10e1467144648a?applicationOrigin=search-new&page=1&sortBy=PUBLICATION_DATE,infojobs
